at_bats,hits,walks,strikeouts,game_id,team
30,8,3,8,360426121,NYM
32,9,1,3,360426130,BAL
30,7,4,8,360426130,TB
31,6,1,6,360426113,NYY
35,13,2,3,360426113,TEX
29,4,3,9,360426116,MIL
30,7,6,9,360426116,CHC
32,6,0,11,360426109,CLE
37,14,3,6,360426109,MIN
39,12,5,12,360426127,PIT
31,8,6,4,360426127,COL
35,11,6,7,360426129,STL
31,5,1,6,360426129,ARI
33,9,4,6,360426103,KC
36,14,5,4,360426103,LAA
30,3,5,9,360426112,HOU
37,13,2,8,360426112,SEA
38,11,1,10,360426119,MIA
33,6,5,7,360426119,LAD
31,7,1,11,360426126,SD
27,4,4,4,360426126,SF
35,9,3,12,360427126,SD
38,16,7,3,360427126,SF
30,7,5,6,360427120,PHI
28,2,3,9,360427120,WSH
33,7,6,5,360427114,CHW
31,4,3,13,360427114,TOR
35,6,3,10,360427102,ATL
34,11,6,6,360427102,BOS
35,8,2,10,360427106,OAK
32,9,7,10,360427106,DET
33,7,1,12,360427121,CIN
29,5,6,3,360427121,NYM
30,3,2,9,360427130,BAL
31,4,3,10,360427130,TB
32,7,2,4,360427113,NYY
27,5,3,6,360427113,TEX
36,10,3,11,360427109,CLE
35,9,3,7,360427109,MIN
49,15,4,11,360427127,PIT
51,18,4,11,360427127,COL
41,14,7,7,360427129,STL
35,10,2,10,360427129,ARI
35,10,3,9,360427103,KC
28,5,2,9,360427103,LAA
34,9,3,13,360427112,HOU
36,10,3,9,360427112,SEA
34,8,2,8,360427119,MIA
28,2,5,4,360427119,LAD
32,6,9,11,360428106,OAK
34,11,5,8,360428106,DET
31,6,7,13,360428116,MIL
32,8,11,5,360428116,CHC
32,6,3,8,360428120,PHI
30,4,3,9,360428120,WSH
37,10,2,7,360428101,CHW
38,15,4,8,360428101,BAL
37,12,5,3,360428102,ATL
36,10,3,9,360428102,BOS
30,3,3,11,360428129,STL
29,6,3,9,360428129,ARI
36,9,2,6,360428119,MIA
33,8,4,12,360428119,LAD
32,7,2,13,360429116,ATL
28,7,7,3,360429116,CHC
31,6,2,10,360429101,CHW
31,8,3,7,360429101,BAL
37,6,3,18,360429122,CLE
37,10,2,8,360429122,PHI
31,6,1,9,360429123,CIN
27,7,4,6,360429123,PIT
29,6,3,5,360429102,NYY
33,8,0,6,360429102,BOS
34,9,6,6,360429121,SF
36,12,6,7,360429121,NYM
33,7,4,8,360429130,TOR
35,9,2,9,360429130,TB
34,10,0,3,360429113,LAA
29,8,3,1,360429113,TEX
32,10,4,8,360429108,MIA
32,4,6,9,360429108,MIL
40,18,4,4,360429109,DET
34,7,2,9,360429109,MIN
32,7,2,2,360429124,WSH
35,10,2,10,360429124,STL
39,12,3,10,360429129,COL
29,5,4,7,360429129,ARI
31,7,4,9,360429111,HOU
32,11,1,5,360429111,OAK
30,6,3,6,360429112,KC
24,1,7,5,360429112,SEA
34,9,2,12,360429119,SD
32,6,4,11,360429119,LAD
33,6,2,11,360430109,DET
33,7,1,10,360430109,MIN
31,6,5,7,360430124,WSH
33,8,2,10,360430124,STL
28,4,4,5,360430111,HOU
29,5,3,7,360430111,OAK
30,6,7,8,360430121,SF
30,8,2,5,360430121,NYM
30,3,6,7,360430130,TOR
32,9,3,8,360430130,TB
37,10,4,8,360430101,CHW
39,14,3,6,360430101,BAL
33,9,1,5,360430122,CLE
29,7,3,6,360430122,PHI
34,6,2,9,360430123,CIN
33,10,5,7,360430123,PIT
32,5,1,8,360430102,NYY
38,14,6,9,360430102,BOS
41,14,9,12,360430108,MIA
32,7,2,6,360430108,MIL
35,9,0,3,360430113,LAA
36,12,1,7,360430113,TEX
37,13,4,9,360430129,COL
30,5,3,6,360430129,ARI
36,9,5,12,360430119,SD
30,4,5,5,360430119,LAD
31,5,0,4,360430112,KC
28,7,8,6,360430112,SEA
33,8,3,8,360501121,SF
36,10,4,9,360501121,NYM
29,5,4,8,360501130,TOR
31,4,2,11,360501130,TB
37,13,6,8,360501101,CHW
34,8,6,11,360501101,BAL
40,8,5,7,360501123,CIN
41,9,5,12,360501123,PIT
40,16,2,0,360501108,MIA
39,18,3,5,360501108,MIL
38,14,0,8,360501109,DET
35,11,3,5,360501109,MIN
37,11,0,11,360501124,WSH
33,6,0,12,360501124,STL
31,5,4,4,360501116,ATL
36,6,3,12,360501116,CHC
29,4,4,9,360501122,CLE
25,4,2,8,360501122,PHI
38,15,5,6,360501113,LAA
38,13,2,8,360501113,TEX
27,2,7,8,360501111,HOU
35,8,1,6,360501111,OAK
37,11,0,12,360501112,KC
34,8,3,10,360501112,SEA
29,3,0,14,360501119,SD
26,3,2,7,360501119,LAD
34,7,5,7,360501129,COL
